房间,窗墙比,传热系数,辐射吸收系数,房间朝向,房间面积,房间人数,温度,湿度,Co2浓度,送风温度,监测时间,air volume
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.2,68,418,24,2024-07-03 00:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.3,68,429,24,2024-07-03 01:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.4,69,420,24,2024-07-03 02:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.4,69,411,24,2024-07-03 03:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.6,69,409,24,2024-07-03 04:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.6,69,417,24,2024-07-03 05:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.7,69,412,24,2024-07-03 06:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.9,66,419,24,2024-07-03 07:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,31.7,64,410,24,2024-07-03 07:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,1,27.5,55,446,24,2024-07-03 10:00:00,1065
ROOM1,0.65,0.53,0.56,东北,56.96,1,26.1,56,445,24,2024-07-03 11:00:00,1070
ROOM1,0.65,0.53,0.56,东北,56.96,1,25.7,57,445,24,2024-07-03 11:30:00,1069
ROOM1,0.65,0.53,0.56,东北,56.96,1,25.4,58,449,24,2024-07-03 12:00:00,1063
ROOM1,0.65,0.53,0.56,东北,56.96,4,23.5,62,465,24,2024-07-03 13:30:00,1069
ROOM1,0.65,0.53,0.56,东北,56.96,4,23.5,61,453,24,2024-07-03 14:00:00,1076
ROOM1,0.65,0.53,0.56,东北,56.96,4,22.6,63,452,24,2024-07-03 16:00:00,1073
ROOM1,0.65,0.53,0.56,东北,56.96,5,22.5,63,450,24,2024-07-03 16:30:00,1071
ROOM1,0.65,0.53,0.56,东北,56.96,5,22.4,63,462,24,2024-07-03 17:00:00,1078
ROOM1,0.65,0.53,0.56,东北,56.96,3,27.5,63,423,24,2024-07-03 19:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,3,28.1,64,422,24,2024-07-03 19:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,3,28.4,65,418,24,2024-07-03 20:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,3,28.8,66,420,24,2024-07-03 20:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,3,28.9,67,412,24,2024-07-03 21:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,3,29.7,69,417,24,2024-07-03 23:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.8,70,428,24,2024-07-04 00:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30,69,431,24,2024-07-04 01:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30,68,434,24,2024-07-04 02:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30,69,416,24,2024-07-04 03:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.1,68,419,24,2024-07-04 04:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.2,68,422,24,2024-07-04 04:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.3,68,415,24,2024-07-04 06:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.4,68,409,24,2024-07-04 06:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.6,69,414,24,2024-07-04 08:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,2,30.9,64,412,24,2024-07-04 08:30:00,1071
ROOM1,0.65,0.53,0.56,东北,56.96,2,26,58,444,24,2024-07-04 10:00:00,1073
ROOM1,0.65,0.53,0.56,东北,56.96,2,25.6,58,451,24,2024-07-04 10:30:00,1066
ROOM1,0.65,0.53,0.56,东北,56.96,5,25.1,59,461,24,2024-07-04 11:30:00,1072
ROOM1,0.65,0.53,0.56,东北,56.96,3,24.1,62,452,24,2024-07-04 13:00:00,1077
ROOM1,0.65,0.53,0.56,东北,56.96,5,23.3,62,453,24,2024-07-04 14:00:00,1068
ROOM1,0.65,0.53,0.56,东北,56.96,4,23.4,63,453,24,2024-07-04 15:00:00,1069
ROOM1,0.65,0.53,0.56,东北,56.96,4,23.2,63,454,24,2024-07-04 15:30:00,1071
ROOM1,0.65,0.53,0.56,东北,56.96,1,23.1,63,466,24,2024-07-04 16:00:00,1075
ROOM1,0.65,0.53,0.56,东北,56.96,8,25.8,58,418,24,2024-07-04 18:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,4,29,64,471,24,2024-07-04 20:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.3,65,463,24,2024-07-04 20:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.4,65,458,24,2024-07-04 21:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.5,65,453,24,2024-07-04 23:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.6,65,459,24,2024-07-05 00:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.7,66,445,24,2024-07-05 00:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.8,67,441,24,2024-07-05 01:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.8,67,447,24,2024-07-05 01:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,29.9,67,450,24,2024-07-05 02:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30,68,455,24,2024-07-05 03:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30,68,450,24,2024-07-05 03:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.2,68,448,24,2024-07-05 05:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.2,68,440,24,2024-07-05 05:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.3,68,436,24,2024-07-05 06:00:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,0,30.3,68,436,24,2024-07-05 06:30:00,0
ROOM1,0.65,0.53,0.56,东北,56.96,2,26.9,62,447,24,2024-07-05 09:00:00,1073
ROOM1,0.65,0.53,0.56,东北,56.96,10,25.7,61,470,24,2024-07-05 09:30:00,1070
ROOM1,0.65,0.53,0.56,东北,56.96,6,24.4,60,478,24,2024-07-05 11:00:00,632
ROOM1,0.65,0.53,0.56,东北,56.96,4,24.3,60,475,24,2024-07-05 11:30:00,627
ROOM1,0.65,0.53,0.56,东北,56.96,6,24.2,60,457,24,2024-07-05 12:00:00,1073
ROOM1,0.65,0.53,0.56,东北,56.96,5,23.9,61,468,24,2024-07-05 12:30:00,1073
ROOM1,0.65,0.53,0.56,东北,56.96,5,23.5,61,455,24,2024-07-05 13:00:00,1073
ROOM1,0.65,0.53,0.56,东北,56.96,7,22.9,62,460,24,2024-07-05 13:30:00,1070
ROOM1,0.65,0.53,0.56,东北,56.96,8,22.6,63,453,24,2024-07-05 14:00:00,1071
